SKILL,TASK
Window Treatments,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Generalised Linear Model (GLM),Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Linear Programming,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Tokenisation,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Correlation Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Bayesian Networks,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Markov Chains,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Principal Component Analysis (PCA),Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Machine Translation (MT),Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Naive Bayes,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Object Recognition,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Semi-Structured Data,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Multiple Regression,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Natural Language Toolkit (NLTK),Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Automatic Speech Recognition (ASR),Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Text to Speech (TTS),Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Multivariate Regression,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Bayesian Modelling,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Object Tracking,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Kernel Methods,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Graph-Based Algorithms,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Web Mining,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
OpenNLP,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Multi-Layer Perceptron,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Leadership in Energy and Environmental Design (LEED),Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Stochastic Optimisation,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Nearest Neighbour Algorithm,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Latent Dirichlet Allocation,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Sentiment Classification,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Lexical Semantics,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Lexical Acquisition,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Energy Savings Calculations,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Latent Semantic Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Lexalytics,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Logit Analysis,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Fuzzy Clustering,Content/Intellectual tasks/Information processing/Processing of codified information/Numeracy/Analytic
Problem Solving,Content/Intellectual tasks/Problem solving/
Troubleshooting,Content/Intellectual tasks/Problem solving/
Analytical Skills,Content/Intellectual tasks/Problem solving/
Decision Making,Content/Intellectual tasks/Problem solving/
Project Planning and Development Skills,Content/Intellectual tasks/Problem solving/
Optimisation,Content/Intellectual tasks/Problem solving/
Test Equipment,Content/Intellectual tasks/Problem solving/
Retail Buying,Content/Intellectual tasks/Problem solving/
Internal Control Procedures,Content/Intellectual tasks/Problem solving/
Issue Investigation,Content/Intellectual tasks/Problem solving/
Process Flow Development,Content/Intellectual tasks/Problem solving/
Internal Controls Testing,Content/Intellectual tasks/Problem solving/
Internal Control Evaluation,Content/Intellectual tasks/Problem solving/
Management Reporting,Content/Intellectual tasks/Problem solving/Information gathering/
Purchasing,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Data Entry,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Record Keeping,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Sorting,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Claims Adjustments,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Troubleshooting Technical Issues,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Filing,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Data Collection,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Online Research,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Market Analysis,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Site Surveys,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
File Management,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Requirements Verification and Validation,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Mail Sorting,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Note Taking,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Data Validation,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Data Verification,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Document Sorting,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Operational Qualification (OQ),Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Mail Distribution,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Managing Student Data,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Maintaining Student Records,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Cleaning Validation,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Document Retrieval,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
Retail Inventory,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
City Ledger,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
508 Compliance Testing,Content/Intellectual tasks/Problem solving/Information gathering/Info search and retrieval
New Business Development,Content/Intellectual tasks/Problem solving/Information gathering/Conceptualization
Root Cause Analysis,Content/Intellectual tasks/Problem solving/Information gathering/Conceptualization
Preparing Proposals,Content/Intellectual tasks/Problem solving/Information gathering/Conceptualization
System Architecture,Content/Intellectual tasks/Problem solving/Information gathering/Conceptualization
Requirements Verification and Validation,Content/Intellectual tasks/Problem solving/Information gathering/Conceptualization
Data Governance,Content/Intellectual tasks/Problem solving/Information gathering/Conceptualization
Data Validation,Content/Intellectual tasks/Problem solving/Information gathering/Conceptualization
Data Verification,Content/Intellectual tasks/Problem solving/Information gathering/Conceptualization
Mathematical Modelling,Content/Intellectual tasks/Problem solving/Information gathering/Conceptualization
Product Naming,Content/Intellectual tasks/Problem solving/Information gathering/Conceptualization
Business Strategy,Content/Intellectual tasks/Problem solving/Creativity and resolution/
Strategic Leadership,Content/Intellectual tasks/Problem solving/Creativity and resolution/
Strategic Management,Content/Intellectual tasks/Problem solving/Creativity and resolution/
Financial Strategy,Content/Intellectual tasks/Problem solving/Creativity and resolution/
Strategic Analysis,Content/Intellectual tasks/Problem solving/Creativity and resolution/
Growth Strategies,Content/Intellectual tasks/Problem solving/Creativity and resolution/
Creativity,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Graphic Design,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Painting,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Product Design,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Strategic Development,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
New Product Development,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Technical Drawings,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Visual Merchandising,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Creative Problem Solving,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Digital Design,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
3D Modelling / Design,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Interior Design,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Creative Design,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Visual Design,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Architectural Design,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Interface Design,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Design Thinking,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Layout Design,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Lighting Design,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Print Design,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Bridge Design,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Vehicle Design,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Landscaping,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Advertising Design,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Freelance Graphics,Content/Intellectual tasks/Problem solving/Creativity and resolution/Creativity
Organisational Skills,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Planning,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Project Management,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Business Development,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Time Management,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Scheduling,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Quality Assurance and Control,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Quality Management,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Prioritising Tasks,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Commissioning,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Project Planning and Development Skills,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Business Planning,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Care Planning,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Enterprise Resource Planning (ERP),Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Risk Management,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Estimating,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Strategic Planning,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Appointment Setting,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Travel Arrangements,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Resource Management,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Audit Planning,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Event Planning,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Project Design,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Lesson Planning,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Disaster Recovery Planning,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Business Operations,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Manufacturing Resource Planning (MRP),Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Sales Planning,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Treatment Planning,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Tax Planning,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Media Planning,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Business Continuity Planning,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Brand Planning,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Scenario Planning,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Meeting Planning/Facilitation,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Forecasting,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Preparation Of Demonstrations,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Calendar Management,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Meeting Room Scheduling,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Banquet Event Orders (BEOs),Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Conservation Planning,Content/Intellectual tasks/Problem solving/Creativity and resolution/Planning
Communication Skills,Content/Social tasks/
Verbal / Oral Communication,Content/Social tasks/
Listening,Content/Social tasks/
Telephone Skills,Content/Social tasks/
Oral Communication,Content/Social tasks/
Customer Service,Content/Social tasks/Serving & attending
Customer Contact,Content/Social tasks/Serving & attending
Stakeholder Management,Content/Social tasks/Serving & attending
Technical Support,Content/Social tasks/Serving & attending
Troubleshooting,Content/Social tasks/Serving & attending
It Support,Content/Social tasks/Serving & attending
Customer Checkout,Content/Social tasks/Serving & attending
Front Office,Content/Social tasks/Serving & attending
Application Support,Content/Social tasks/Serving & attending
Service Improvement,Content/Social tasks/Serving & attending
Customer Accounts,Content/Social tasks/Serving & attending
Public Relations,Content/Social tasks/Serving & attending
Troubleshooting Technical Issues,Content/Social tasks/Serving & attending
Guest Services,Content/Social tasks/Serving & attending
Help Desk Support,Content/Social tasks/Serving & attending
Compliance Management,Content/Social tasks/Serving & attending
Taking Messages,Content/Social tasks/Serving & attending
Refunds Exchanges and Adjustments,Content/Social tasks/Serving & attending
Technical Assistance,Content/Social tasks/Serving & attending
Client Service,Content/Social tasks/Serving & attending
Hardware Support,Content/Social tasks/Serving & attending
Phone Answering,Content/Social tasks/Serving & attending
Message Delivery,Content/Social tasks/Serving & attending
Teaching,"Content/Social tasks/Teaching, training, coaching"
Presentation Skills,"Content/Social tasks/Teaching, training, coaching"
Mentoring,"Content/Social tasks/Teaching, training, coaching"
Training Programmes,"Content/Social tasks/Teaching, training, coaching"
Faculty Training,"Content/Social tasks/Teaching, training, coaching"
Onboarding,"Content/Social tasks/Teaching, training, coaching"
Employee Training,"Content/Social tasks/Teaching, training, coaching"
Employee Relations,"Content/Social tasks/Teaching, training, coaching"
Staff Development,"Content/Social tasks/Teaching, training, coaching"
Technical Training,"Content/Social tasks/Teaching, training, coaching"
Sales Training,"Content/Social tasks/Teaching, training, coaching"
Graduate Teaching,"Content/Social tasks/Teaching, training, coaching"
Meeting Facilitation,"Content/Social tasks/Teaching, training, coaching"
Technical Demonstrations,"Content/Social tasks/Teaching, training, coaching"
Grand Rounds,"Content/Social tasks/Teaching, training, coaching"
Sales,Content/Social tasks/Selling & influencing
Building Effective Relationships,Content/Social tasks/Selling & influencing
Business Development,Content/Social tasks/Selling & influencing
Marketing,Content/Social tasks/Selling & influencing
Social Media,Content/Social tasks/Selling & influencing
Product Sales,Content/Social tasks/Selling & influencing
Client Base Retention,Content/Social tasks/Selling & influencing
Sales Management,Content/Social tasks/Selling & influencing
Account Management,Content/Social tasks/Selling & influencing
Business-to-Business,Content/Social tasks/Selling & influencing
Sales Goals,Content/Social tasks/Selling & influencing
Purchasing,Content/Social tasks/Selling & influencing
E-Commerce,Content/Social tasks/Selling & influencing
Negotiation Skills,Content/Social tasks/Selling & influencing
Prospective Clients,Content/Social tasks/Selling & influencing
Telesales,Content/Social tasks/Selling & influencing
Customer Relationship Management (CRM),Content/Social tasks/Selling & influencing
Merchandising,Content/Social tasks/Selling & influencing
Fundraising,Content/Social tasks/Selling & influencing
Digital Marketing,Content/Social tasks/Selling & influencing
Sales Support,Content/Social tasks/Selling & influencing
Cold Calling,Content/Social tasks/Selling & influencing
Professional Services Marketing,Content/Social tasks/Selling & influencing
Retail Sales,Content/Social tasks/Selling & influencing
Litigation,Content/Social tasks/Selling & influencing
Persuasion,Content/Social tasks/Selling & influencing
Cross Sell,Content/Social tasks/Selling & influencing
Description and Demonstration of Products,Content/Social tasks/Selling & influencing
Direct Sales,Content/Social tasks/Selling & influencing
Business-to-Business Sales,Content/Social tasks/Selling & influencing
Technical Sales,Content/Social tasks/Selling & influencing
Upselling Products and Services,Content/Social tasks/Selling & influencing
Sales Engineering,Content/Social tasks/Selling & influencing
Prospecting,Content/Social tasks/Selling & influencing
Marketing Materials,Content/Social tasks/Selling & influencing
Telemarketing,Content/Social tasks/Selling & influencing
Sales Strategy,Content/Social tasks/Selling & influencing
Direct Marketing,Content/Social tasks/Selling & influencing
Email Marketing,Content/Social tasks/Selling & influencing
Campaign Management,Content/Social tasks/Selling & influencing
Management Consulting,Content/Social tasks/Selling & influencing
Marketing Communications,Content/Social tasks/Selling & influencing
Brand Awareness Generation,Content/Social tasks/Selling & influencing
Online Marketing,Content/Social tasks/Selling & influencing
Sales Cycle,Content/Social tasks/Selling & influencing
Advertising,Content/Social tasks/Selling & influencing
Trade Shows,Content/Social tasks/Selling & influencing
Contract Negotiation,Content/Social tasks/Selling & influencing
Sales Calls,Content/Social tasks/Selling & influencing
Customer Retention,Content/Social tasks/Selling & influencing
Inside Sales,Content/Social tasks/Selling & influencing
Brand Management,Content/Social tasks/Selling & influencing
Knowledge Management,Content/Social tasks/Selling & influencing
Business Consulting,Content/Social tasks/Selling & influencing
Publicity,Content/Social tasks/Selling & influencing
Unified Communications,Content/Social tasks/Selling & influencing
Technical Services Marketing,Content/Social tasks/Selling & influencing
Corporate Communications,Content/Social tasks/Selling & influencing
Pharmaceutical Sales,Content/Social tasks/Selling & influencing
Business Process Modelling,Content/Social tasks/Selling & influencing
Business Communications,Content/Social tasks/Selling & influencing
E-Marketing,Content/Social tasks/Selling & influencing
Solution Selling,Content/Social tasks/Selling & influencing
Promotional Campaigns,Content/Social tasks/Selling & influencing
Communications Programmes,Content/Social tasks/Selling & influencing
Digital Sales,Content/Social tasks/Selling & influencing
Internal Communications,Content/Social tasks/Selling & influencing
Business Process Modelling Notation (BPMN),Content/Social tasks/Selling & influencing
Marketing Sales,Content/Social tasks/Selling & influencing
Strategic Communications,Content/Social tasks/Selling & influencing
Strategic Recommendations,Content/Social tasks/Selling & influencing
Store Merchandising,Content/Social tasks/Selling & influencing
Co-branding,Content/Social tasks/Selling & influencing
Digital Media Sales,Content/Social tasks/Selling & influencing
Mortgage Lending,Content/Social tasks/Selling & influencing
Business Impact Analysis,Content/Social tasks/Selling & influencing
Organisational Skills,Content/Social tasks/Managing & coordinating
Project Management,Content/Social tasks/Managing & coordinating
Building Effective Relationships,Content/Social tasks/Managing & coordinating
Leadership,Content/Social tasks/Managing & coordinating
Staff Management,Content/Social tasks/Managing & coordinating
People Management,Content/Social tasks/Managing & coordinating
Scheduling,Content/Social tasks/Managing & coordinating
Sales Management,Content/Social tasks/Managing & coordinating
Decision Making,Content/Social tasks/Managing & coordinating
Commissioning,Content/Social tasks/Managing & coordinating
Change Management,Content/Social tasks/Managing & coordinating
Operations Management,Content/Social tasks/Managing & coordinating
Performance Management,Content/Social tasks/Managing & coordinating
Team Management,Content/Social tasks/Managing & coordinating
Supervisory Skills,Content/Social tasks/Managing & coordinating
Office Management,Content/Social tasks/Managing & coordinating
Marketing Management,Content/Social tasks/Managing & coordinating
Business Administration,Content/Social tasks/Managing & coordinating
Appointment Setting,Content/Social tasks/Managing & coordinating
Conflict Management,Content/Social tasks/Managing & coordinating
Outsourcing,Content/Social tasks/Managing & coordinating
Employee Relations,Content/Social tasks/Managing & coordinating
Business Management,Content/Social tasks/Managing & coordinating
Resource Management,Content/Social tasks/Managing & coordinating
Construction Management,Content/Social tasks/Managing & coordinating
Restaurant Management,Content/Social tasks/Managing & coordinating
Team Building,Content/Social tasks/Managing & coordinating
Contract Administration,Content/Social tasks/Managing & coordinating
Office Administration,Content/Social tasks/Managing & coordinating
Managing Subcontractors,Content/Social tasks/Managing & coordinating
Policy Implementation,Content/Social tasks/Managing & coordinating
Event Management,Content/Social tasks/Managing & coordinating
Change Management Process,Content/Social tasks/Managing & coordinating
Strategic Partnerships,Content/Social tasks/Managing & coordinating
Personnel Management,Content/Social tasks/Managing & coordinating
Goal Setting,Content/Social tasks/Managing & coordinating
Gatekeeper,Content/Social tasks/Managing & coordinating
Escalation Management,Content/Social tasks/Managing & coordinating
Drools Rules Engine,Content/Social tasks/Managing & coordinating
TIBCO Administration,Content/Social tasks/Managing & coordinating
Construction Coordination,Content/Social tasks/Managing & coordinating
Corporate Supply Chain Management,Content/Social tasks/Managing & coordinating
Global Organisational Development,Content/Social tasks/Managing & coordinating
Faculty Relations,Content/Social tasks/Managing & coordinating
Child Care,Content/Social tasks/Caring
Working With Patient And/Or Condition: Mental Health,Content/Social tasks/Caring
Listening,Content/Social tasks/Caring
Patient Care,Content/Social tasks/Caring
Rehabilitation,Content/Social tasks/Caring
Autism Diagnosis / Treatment / Care,Content/Social tasks/Caring
Child Protection,Content/Social tasks/Caring
Primary Care,Content/Social tasks/Caring
Elder Care,Content/Social tasks/Caring
Paediatrics,Content/Social tasks/Caring
Working With Patient And/Or Condition: Physical Disability,Content/Social tasks/Caring
Home Care,Content/Social tasks/Caring
Working With Patient And/Or Condition: Trauma,Content/Social tasks/Caring
Palliative Care,Content/Social tasks/Caring
Working With Patient And/Or Condition: Bathing,Content/Social tasks/Caring
Critical Care,Content/Social tasks/Caring
Babysitting,Content/Social tasks/Caring
Working With Patient And/Or Condition: Brain Injury,Content/Social tasks/Caring
Urgent Care,Content/Social tasks/Caring
Life Support,Content/Social tasks/Caring
Working With Patient And/Or Condition: Attention Deficit Hyperactivity Disorder (ADHD),Content/Social tasks/Caring
Working With Patient And/Or Condition: Hepatitis B,Content/Social tasks/Caring
Working With Patient And/Or Condition: Legionella,Content/Social tasks/Caring
Venipuncture,Content/Social tasks/Caring
Working With Patient And/Or Condition: Mental Illness,Content/Social tasks/Caring
Working With Patient And/Or Condition: Hygiene,Content/Social tasks/Caring
Working With Patient And/Or Condition: Chronic Disease,Content/Social tasks/Caring
Parenting,Content/Social tasks/Caring
Dental Care,Content/Social tasks/Caring
Working With Patient And/Or Condition: Geriatrics,Content/Social tasks/Caring
Working With Patient And/Or Condition: Personality Disorder,Content/Social tasks/Caring
Eye Care,Content/Social tasks/Caring
Psychotherapy,Content/Social tasks/Caring
Working With Patient And/Or Condition: Neurological Injury,Content/Social tasks/Caring
Working With Patient And/Or Condition: Dysphagia (Swallowing Problems),Content/Social tasks/Caring
Working With Patient And/Or Condition: Injections,Content/Social tasks/Caring
Working With Patient And/Or Condition: Psychosis,Content/Social tasks/Caring
Working With Patient And/Or Condition: Schizophrenia,Content/Social tasks/Caring
Working With Patient And/Or Condition: Cardiac Disorders,Content/Social tasks/Caring
Working With Patient And/Or Condition: Stoma,Content/Social tasks/Caring
Working With Patient And/Or Condition: Heart Failure,Content/Social tasks/Caring
Working With Patient And/Or Condition: Ulcer,Content/Social tasks/Caring
Working With Patient And/Or Condition: Metabolism,Content/Social tasks/Caring
Working With Patient And/Or Condition: Fascia,Content/Social tasks/Caring
Patient Condition Monitoring,Content/Social tasks/Caring
Working With Patient And/Or Condition: Physical Impairment,Content/Social tasks/Caring
Working With Patient And/Or Condition:Cystic Fibrosis,Content/Social tasks/Caring
Family Therapy,Content/Social tasks/Caring
Working With Patient And/Or Condition: Dyspraxia,Content/Social tasks/Caring
Working With Patient And/Or Condition: Hepatitis C,Content/Social tasks/Caring
Working With Patient And/Or Condition: Down Syndrome,Content/Social tasks/Caring
Working With Patient And/Or Condition: Cardiac Arrest,Content/Social tasks/Caring
Working With Patient And/Or Condition: Cognitive Impairment,Content/Social tasks/Caring
Working With Patient And/Or Condition: Abortion,Content/Social tasks/Caring
Working With Patient And/Or Condition: Communication Disorders,Content/Social tasks/Caring
Working With Patient And/Or Condition: Addiction Treatment,Content/Social tasks/Caring
Working With Patient And/Or Condition: Biopsy,Content/Social tasks/Caring
Working With Patient And/Or Condition: Fractures,Content/Social tasks/Caring
Working With Patient And/Or Condition: Influenza,Content/Social tasks/Caring
Working With Patient And/Or Condition: Anaphylaxis,Content/Social tasks/Caring
Working With Patient And/Or Condition: Acute Illness,Content/Social tasks/Caring
Working With Patient And/Or Condition: Child Neglect,Content/Social tasks/Caring
Working With Patient And/Or Condition: Musculoskeletal Disorders,Content/Social tasks/Caring
Working With Patient And/Or Condition: Amputation,Content/Social tasks/Caring
Working With Patient And/Or Condition: Lymphoma,Content/Social tasks/Caring
Working With Patient And/Or Condition: Sepsis,Content/Social tasks/Caring
Working With Patient And/Or Condition: Thrombosis,Content/Social tasks/Caring
Working With Patient And/Or Condition: Haemophilia,Content/Social tasks/Caring
Working With Patient And/Or Condition: Bipolar Disorder,Content/Social tasks/Caring
Working With Patient And/Or Condition: Developmental Disorders,Content/Social tasks/Caring
Working With Patient And/Or Condition: Delirium,Content/Social tasks/Caring
Working With Patient And/Or Condition: Sarcoma,Content/Social tasks/Caring
Working With Patient And/Or Condition: Movement Disorders,Content/Social tasks/Caring
Working With Patient And/Or Condition: Behaviour Problems,Content/Social tasks/Caring
Working With Patient And/Or Condition: Gastrointestinal (GI) bleeding,Content/Social tasks/Caring
Working With Patient And/Or Condition: Back Pain,Content/Social tasks/Caring
Working With Patient And/Or Condition: Malnutrition,Content/Social tasks/Caring
Working With Patient And/Or Condition: Vasectomy,Content/Social tasks/Caring
Working With Patient And/Or Condition: Sexually Transmitted Infections,Content/Social tasks/Caring
Working With Patient And/Or Condition: Acute Pain,Content/Social tasks/Caring
Working With Patient And/Or Condition: Speech Impairment,Content/Social tasks/Caring
Working With Patient And/Or Condition: Tinnitus,Content/Social tasks/Caring
Working With Patient And/Or Condition: Dermatitis,Content/Social tasks/Caring
Working With Patient And/Or Condition: Caesarean Section (C-section),Content/Social tasks/Caring
Working With Patient And/Or Condition: Acute Medical Conditions,Content/Social tasks/Caring
Working With Patient And/Or Condition: Anaemia,Content/Social tasks/Caring
Working With Patient And/Or Condition: Hernia,Content/Social tasks/Caring
Working With Patient And/Or Condition: Psychological Issues,Content/Social tasks/Caring
Working With Patient And/Or Condition: Eczema,Content/Social tasks/Caring
Working With Patient And/Or Condition: Back Injury,Content/Social tasks/Caring
Working With Patient And/Or Condition: Chronic Pain Management,Content/Social tasks/Caring
Working With Patient And/Or Condition: Skin Conditions,Content/Social tasks/Caring
Working With Patient And/Or Condition: Hip Fracture,Content/Social tasks/Caring
Working With Patient And/Or Condition: Brain Tumour,Content/Social tasks/Caring
Working With Patient And/Or Condition: Respiratory Failure,Content/Social tasks/Caring
Working With Patient And/Or Condition: Psoriasis,Content/Social tasks/Caring
Working With Patient And/Or Condition: Human Papilloma Virus (HPV),Content/Social tasks/Caring
Working With Patient And/Or Condition: Viral Hepatitis,Content/Social tasks/Caring
Working With Patient And/Or Condition: Severe Disability,Content/Social tasks/Caring
Working With Patient And/Or Condition: Psychological Problems,Content/Social tasks/Caring
Working With Patient And/Or Condition: Escherichia Coli (E.Coli),Content/Social tasks/Caring
Symptoms Reporting,Content/Social tasks/Caring
Working With Patient And/Or Condition: Acute and Chronic Pain,Content/Social tasks/Caring
Working With Patient And/Or Condition: Cholesterol,Content/Social tasks/Caring
Working With Patient And/Or Condition: Gastrointestinal Disorder,Content/Social tasks/Caring
Working With Patient And/Or Condition: Hypoxia,Content/Social tasks/Caring
Working With Patient And/Or Condition: Cleft Lip,Content/Social tasks/Caring
Working With Patient And/Or Condition: Methadone,Content/Social tasks/Caring
Working With Patient And/Or Condition: Food Allergy,Content/Social tasks/Caring
Working With Patient And/Or Condition: Colitis,Content/Social tasks/Caring
Working With Patient And/Or Condition: Quadriplegia,Content/Social tasks/Caring
Working With Patient And/Or Condition: Osteoarthritis,Content/Social tasks/Caring
